english|french
emperor ring|Bague d'empereur
empty blaster|Blaster vide
empty box|Boîte vide
empty bucket|Seau vide
empty bucket pack|Pack de seaux vides
empty candle lantern|Lanterne à bougie vide
empty cup|Tasse vide
empty fish food box|Boîte de nourriture pour poissons vide
empty gourd vial|Fiole en calebasse vide
empty jug|Cruche vide
empty jug pack|Pack de cruches vides
empty light orb|Orbe lumineux vide
empty oil lamp|Lampe à huile vide
empty oil lantern|Lanterne à huile vide
empty oyster|Huître vide
empty plant pot|Pot de fleur vide
empty sack|Sac vide
empty spice shaker|Saupoudreuse vide
empty tax bag|Sac à impôts vide
empty vial|Fiole vide
empty vial pack|Pack de fioles vides
empty wine bottle|Bouteille de vin vide
enchant diamond|Enchanter un diamant
enchant dragonstone|Enchanter une pierre de dragon
enchant emerald or jade|Enchanter une émeraude ou un jade
enchant onyx|Enchanter un onyx
enchant ruby or topaz|Enchanter un rubis ou une topaze
enchant sapphire or opal|Enchanter un saphir ou une opale
enchanted bar|Barre enchantée
enchanted bear|Ours enchanté
enchanted beef|Bœuf enchanté
enchanted chicken|Poulet enchanté
enchanted curtains|Rideaux enchantés
enchanted earth talisman|Talisman de terre enchanté
enchanted egg|Œuf enchanté
enchanted emerald sickle|Faucille émeraude enchantée
enchanted flour|Farine enchantée
enchanted gem|Gemme enchantée
enchanted hat|Chapeau enchanté
enchanted key|Clé enchantée
enchanted lyre|Lyre enchantée
enchanted milk|Lait enchanté
enchanted quill|Plume enchantée
enchanted rat|Rat enchanté
enchanted robe|Robe enchantée
enchanted ruby sickle|Faucille rubis enchantée
enchanted scroll|Parchemin enchanté
enchanted snowy curtains|Rideaux enneigés enchantés
enchanted symbol|Symbole enchanté
enchanted top|Toupie enchantée
enchanted vial|Fiole enchantée
enchanted water talisman|Talisman d'eau enchanté
endarkened juice|Jus obscurci
energy disk|Disque d'énergie
energy dolmen|Dolmen d'énergie
energy mix|Mélange d'énergie
energy potion|Potion d'énergie
engine|Moteur
enhanced crystal key|Clé de cristal améliorée
enhanced crystal teleport seed|Graine de téléportation de cristal améliorée
enhanced crystal weapon seed|Graine d'arme de cristal améliorée
enhanced quetzal whistle|Sifflet de quetzal amélioré
enhanced quetzal whistle blueprint|Plan de sifflet de quetzal amélioré
enjifern|Enjifern
enormous pearl|Perle énorme
enriched snapdragon|Muflier enrichi
enriched snapdragon seed|Graine de muflier enrichi
ensouled abyssal head|Tête abyssale animée
ensouled aviansie head|Tête d'aviansie animée
ensouled bear head|Tête d'ours animée
ensouled bloodveld head|Tête de Bloodveld animée
ensouled chaos druid head|Tête de druide du chaos animée
ensouled dagannoth head|Tête de Dagannoth animée
ensouled demon head|Tête de démon animée
ensouled dog head|Tête de chien animée
ensouled dragon head|Tête de dragon animée
ensouled elf head|Tête d'elfe animée
ensouled giant head|Tête de géant animée
ensouled goblin head|Tête de gobelin animée
ensouled hellhound head|Tête de chien de l'enfer animée
ensouled horror head|Tête d'horreur animée
ensouled imp head|Tête d'imp animée
ensouled kalphite head|Tête de kalphite animée
ensouled minotaur head|Tête de minotaure animée
ensouled monkey head|Tête de singe animée
ensouled ogre head|Tête d'ogre animée
ensouled scorpion head|Tête de scorpion animée
ensouled troll head|Tête de troll animée
ensouled tzhaar head|Tête de tzhaar animée
ensouled unicorn head|Tête de licorne animée
ent branch|Branche d'Ent
ent seed|Graine d'Ent
ent's roots|Racines d'Ent
entomologist's diary|Journal de l'entomologiste
equa leaves|Feuilles d'Equa
equa toad's legs|Pattes de crapaud d'Equa
escape crystal|Cristal d'évasion
esoteric emblem|Emblème ésotérique
essence impling jar|Pot d'essence impling
essence pack|Pack d'essence
etchings|Gravures
eternal boots|Bottes éternelles
eternal brazier|Brasero éternel
eternal brazier schematic|Schéma du brasero éternel
eternal crystal|Cristal éternel
eternal gem|Gemme éternelle
eternal teleport crystal|Cristal de téléportation éternel
ethenea|Ethenea
evacuation note|Note d'évacuation
event lamp|Lampe événementielle
events tool|Outil événementiel
evil chicken feet|Pattes de poulet maléfiques
evil chicken head|Tête de poulet maléfique
evil chicken legs|Cuisses de poulet maléfiques
evil chicken wings|Ailes de poulet maléfiques
evil chicken's egg|Œuf de poulet maléfique
evil root|Racine maléfique
excalibur|Excalibur
excellent repair kit|Kit de réparation excellent
executioner's axe head|Tête de hache du bourreau
exit portal|Portail de sortie
exotic flower|Fleur exotique
expeditious bracelet|Bracelet expéditif
experiment bone|Os expérimental
experimental note|Note expérimentale
expert mining gloves|Gants d'expert en minage
expert potion pack|Pack de potions d'expert
exploding vial|Fiole explosive
explorer backpack|Sac à dos d'explorateur
explorer's notes|Notes d'explorateur
explorer's ring 1|Bague d'explorateur 1
explorer's ring 2|Bague d'explorateur 2
explorer's ring 3|Bague d'explorateur 3
explorer's ring 4|Bague d'explorateur 4
explosive discovery|Découverte explosive
explosive potion|Potion explosive
exquisite boots|Bottes exquises
exquisite clothes|Vêtements exquis
extended anti-venom+|Anti-venin prolongé+
extended antifire|Anti-feu prolongé
extended antifire mix|Mélange anti-feu prolongé
extended brush|Brosse prolongée
extended stamina potion|Potion d'endurance prolongée
extended super antifire|Anti-feu super prolongé
extended super antifire mix|Mélange anti-feu super prolongé
extra supply crate|Caisse de ravitaillement supplémentaire
extra weapons rack|Râtelier d'armes supplémentaire
extradimensional bag|Sac extradimensionnel
extreme energy potion|Potion d'énergie extrême
eye amulet|Amulette œil
eye of ayak|Œil d'ayak
eye of gnome|Œil de gnome
eye of newt|Œil de triton
eye of newt pack|Pack d'yeux de triton
eye of the corruptor|Œil du corrupteur
eye of the duke|Œil du duc
facemask|Masque facial
fairy enchantment|Enchantement de fée
fairy mushroom|Champignon de fée
fairy ring|Anneau de fées
fake beak|Faux bec
fake beard|Fausse barbe
fake dragon hasta|Fausse lance de dragon
fake man|Faux homme
falador shield 1|Bouclier de Falador 1
falador shield 2|Bouclier de Falador 2
falador shield 3|Bouclier de Falador 3
falador shield 4|Bouclier de Falador 4
falador teleport|Téléportation de Falador
falconer's glove|Gant de fauconnier
family crest|Armoiries familiales
famished shark fin|Aileron de requin affamé
fancier boots|Bottes fantaisie
fancy boots|Bottes fantaisie
fancy carrot|Carotte fantaisie
fancy carrot juice|Jus de carotte fantaisie
fancy hedge|Haie fantaisie
fancy jewellery box|Boîte à bijoux fantaisie
fancy range|Gamme chic
fancy rejuvenation pool|Bassin de rajeunissement chic
fancy teak dresser|Commode chic en teck
fancy tiara|Diadème fantaisie
fang|Crocs
fangs of venenatis|Crocs de venenatis
farmer|Fermier
farmer's boots|Bottes de fermier
farmer's boro trousers|Pantalon de fermier
farmer's fork|Fourche de fermier
farmer's jacket|Veste de fermier
farmer's shirt|Chemise de fermier
farmer's strawhat|Chapeau de paille de fermier
farming cape|Cape agricole
farming guild door|Porte de la guilde agricole
farming guild gate|Portail de la guilde agricole
farming helper - do not add!|Aide agricole - ne pas ajouter !
farming hood|Capuche agricole
farming manual|Manuel agricole
farseer helm|Casque du devin
fat snail|Escargot gras
fat snail meat|Viande d'escargot gras
fathom pearl|Perle de Fathom
fathom stone|Pierre de Fathom
fayrg bonemeal|Farine d'os de Fayrg
fayrg bones|Os de Fayrg
feather|Plume
feather pack|Paquet de plumes
feathered journal|Journal à plumes
fedora|Fedora
feldip hills teleport|Téléportation vers les collines de Feldip
feldip weasel fur|Fourrure de belette de Feldip
felling axe handle|Manche de hache d'abattage
female h.a.m.|H.A.M. féminine
fencing ring|Anneau d'escrime
fenkenstrain's castle teleport|Téléportation au château de Fenkenstrain
fern|Fougère
ferocious gloves|Gants féroces
ferret|Furet
festive cinnamon|Cannelle festive
festive cinnamon stick|Bâton de cannelle festive
festive egg|Œuf festif
festive elf hat|Bonnet d'elfe festif
festive elf slippers|Chaussons d'elfe festifs
festive flour|Farine festive
festive games crown|Couronne de jeux festive
festive ginger powder|Poudre de gingembre festive
festive gingerbread gnomes|Gnomes festifs en pain d'épices
festive holly|Houx festif
festive mulled wine|Vin chaud festif
festive pot|Pot festif
festive scarf|Écharpe festive
festive tree branch|Branche d'arbre festive
festive white wine|Vin blanc festif
fetid key|Clé fétide
fever spider|Araignée fiévreuse
fever spider body|Corps d'araignée fiévreuse
fez|Fez
fibula piece|Morceau de fibule
field arrow|Flèche de campagne
field ration|Ration de campagne
fiendish ashes|Cendres diaboliques
fighter hat|Chapeau de combattant
fighter torso|Torse de combattant
fighting boots|Bottes de combat
file|Lime
filled plant pot|Pot de fleur rempli
fillets|Filets
fine cloth|Tissu fin
fine fish offcuts|Chutes de poisson fin
fine mesh net|Filet à mailles fines
fine red silk|Soie rouge fine
fine repair kit|Kit de réparation fin
fine silk|Soie fine
fingernails|Ongles
fingers|Doigts
fire|Feu
fire battlestaff|Bâton de combat de feu
fire block|Bloc de feu
fire cape|Cape de feu
fire element staff crown|Couronne de bâton élémentaire de feu
fire feather|Plume de feu
fire giant bone|Os de géant de feu
fire max cape|Cape de feu maximale
fire max hood|Capuche de feu maximale
fire nerve|Nerf de feu
fire of dehumidification|Feu de déshumidification
fire of eternal light|Feu de lumière éternelle
fire of nourishment|Feu de nourriture
fire of unseasonal warmth|Feu de chaleur hors saison
fire orb|Orbe de feu
fire rune|Rune de feu
fire rune pack|Pack de runes de feu
fire talisman|Talisman de feu
fire tiara|Diadème de feu
firemaking cape|Cape d'allumage de feu
firemaking hood|Capuche d'allumage de feu
firemaking tome|Tome d'allumage de feu
firepit|Foyer
firepit with hook|Foyer avec crochet
firepit with pot|Foyer avec marmite
firestarter|Allume-feu
firework|Feu d'artifice
fiscal statement|Déclaration fiscale
fish barrel|Baril à poissons
fish chunks|Morceaux de poisson
fish crate|Caisse à poisson
fish food|Nourriture pour poissons
fish offcuts|Chutes de poisson
fish pie|Tarte au poisson
fish sack|Sac à poisson
fish sack barrel|Tonneau à sacs de poisson
fish vial|Fiole à poissons
fishbowl|Bocal à poissons
fishbowl and net|Bocal à poissons et filet
fishbowl helmet|Casque bocal à poissons
fishing bait|Appât de pêche
fishing cape|Cape de pêche
fishing dolmen|Dolmen de pêche
fishing explosive|Explosif de pêche
fishing guild teleport|Téléportation de la guilde de pêche
fishing hood|Capuche de pêche
fishing mix|Mélange de pêche
fishing pass|Permis de pêche
fishing potion|Potion de pêche
fishing rod|Canne à pêche
fishing tome|Livre de pêche
fishing trophy|Trophée de pêche
fishlike thing|Chose ressemblant à un poisson
fishmonger|Poissonnier
fishy chocolate mix|Mélange chocolaté au poisson
fishy easter egg|Œuf de Pâques au poisson
fishy prison uniform top|Haut d'uniforme de prisonnier au poisson
fishy salvage|Récupération au poisson
five barrels|Cinq tonneaux
fixed device|Dispositif fixe
fiyr remains|Restes de Fiyr
flame pit|Fosse à flammes
flamtaer bag|Sac Flamtaer
flamtaer bracelet|Bracelet Flamtaer
flamtaer hammer|Marteau Flamtaer
flared trousers|Pantalon évasé
flash powder|Poudre flash
flattened hide|Peau aplatie
flax|Lin
flax seed|Graines de lin
flaygian's notes|Notes de Flaygian
fletching cape|Cape de fléchiste
fletching hood|Capuche de fléchiste
fletching knife|Couteau de fléchiste
flighted ogre arrow|Flèche d'ogre volante
flippers|Palmes
floor decoration|Décoration de sol
flour|Farine
flower crown|Couronne de fleurs
fluffs' kitten|Chaton de Fluffs
fluffy chocolate mix|Mélange chocolaté moelleux
fluffy easter egg|Œuf de Pâques moelleux
fluffy feathers|Plumes moelleuses
fly fishing rod|Canne à pêche à la mouche
flyer|Flyer
flypaper|Papier collant
footprint|Empreinte
forager's pouch|Pochette de cueilleur
forest habitat|Habitat forestier
forester's ration|Ration du forestier
forester's tea|Thé du forestier
forestry basket|Panier forestier
forestry boots|Bottes forestières
forestry hat|Chapeau forestier
forestry kit|Kit forestier
forestry legs|Jambes forestières
forestry top|Haut forestier
forgotten brew|Breuvage oublié
forgotten lockbox|Coffre oublié
forinthry sigil|Sceau forestier
forlorn boot|Botte abandonnée
form 7r4-5h|Formulaire 7r4-5h
form cr-4p|Formulaire cr-4p
fortis ash white|Cendre blanche Fortis
fossil island note book|Carnet de l'île fossile
fossil island wyvern|Wyvern de l'île fossile
fossilised branch|Branche fossilisée
fossilised dung|Excréments fossilisés
fossilised leaf|Feuille fossilisée
fossilised mushroom|Champignon fossilisé
fossilised roots|Racines fossilisées
fossilised skull|Crâne fossilisé
fossilised stump|Souche fossilisée
four barrels|Quatre tonneaux
four-poster bed|Lit à baldaquin
fox|Renard
fox fluff|Duvet de renard
fox fur|Fourrure de renard
fox whistle|Sifflet de renard
fox's report|Rapport du renard
fractured crystal|Cristal fracturé
fragment 1|Fragment 1
fragment 2|Fragment 2
fragment 3|Fragment 3
frank's print|Empreinte de Frank
free to play starter pack|Pack de démarrage gratuit
fremennik|Fremennik
fremennik ballad|Ballade fremennik
fremennik beige shirt|Chemise beige fremennik
fremennik black cloak|Cape noire fremennik
fremennik blade|Lame fremennik
fremennik blue cloak|Cape bleue fremennik
fremennik blue shirt|Chemise bleue fremennik
fremennik boots|Bottes fremennik
fremennik brown cloak|Cape marron fremennik
fremennik brown shirt|Chemise marron fremennik
fremennik cyan cloak|Cape cyan fremennik
fremennik echo orb|Orbe d'écho fremennik
fremennik gloves|Gants Fremennik
fremennik green cloak|Cape verte Fremennik
fremennik grey cloak|Cape grise Fremennik
fremennik grey shirt|Chemise grise Fremennik
fremennik hat|Chapeau Fremennik
fremennik helm|Casque Fremennik
fremennik kilt|Kilt Fremennik
fremennik pink cloak|Cape rose Fremennik
fremennik purple cloak|Cape violette Fremennik
fremennik red cloak|Cape rouge Fremennik
fremennik red shirt|Chemise rouge Fremennik
fremennik robe|Robe Fremennik
fremennik salvage|Récupération Fremennik
fremennik sea boots 1|Bottes de mer Fremennik 1
fremennik sea boots 2|Bottes de mer Fremennik 2
fremennik sea boots 3|Bottes de mer Fremennik 3
fremennik sea boots 4|Bottes de mer Fremennik 4
fremennik shield|Bouclier Fremennik
fremennik skirt|Jupe Fremennik
fremennik teal cloak|Cape Fremennik bleu sarcelle
fremennik yellow cloak|Cape Fremennik jaune
fresh chocolate mix|Mélange de chocolat frais
fresh crab claw|Pince de crabe fraîche
fresh crab shell|Carapace de crabe fraîche
fresh easter egg|Œuf de Pâques frais
fresh fish|Poisson frais
fresh monkfish|Lotte frais
fresh start helper|Aide au nouveau départ
fried mushrooms|Champignons frits
fried onions|Oignons frits
frigatebird beak|Bec de frégate
frigatebird feather|Plume de frégate
frog mask|Masque de grenouille
frog slippers|Chaussons de grenouille
frog spawn|Œufs de grenouille
frog token|Jeton de grenouille
frog-leather body|Corps en cuir de grenouille
frog-leather boots|Bottes en cuir de grenouille
frog-leather chaps|Jambières en cuir de grenouille
frogburger|Burger de grenouille
frogspawn gumbo|Gumbo aux œufs de grenouille
frost dragon bonemeal|Farine d'os de dragon givré
frost dragon bones|Os de dragon givré
frozen abyssal whip|Fouet abyssal gelé
frozen bucket|Seau gelé
frozen cache|Cache gelée
frozen churning machine|Machine à baratter gelée
frozen jug|Cruche gelée
frozen key|Clé gelée
frozen key piece|Morceau de clé gelée
frozen tablet|Tablette gelée
frozen tear|Larme gelée
frozen vase|Vase gelé
frozen whip mix|Mélange pour fouet gelé
fruit batta|Batte aux fruits
fruit blast|Explosion de fruits
fruity chocolate mix|Mélange chocolaté aux fruits
fruity easter egg|Œuf de Pâques fruité
frying pan|Poêle à frire
full bucket|Seau plein
full folder|Dossier plein
full jug|Cruche pleine
full kettle|Bouilloire pleine
fungicide|Fongicide
fungicide spray|Spray fongicide
funky shaped log|Bûche de forme bizarre
fur|Fourrure
fur head|Tête en fourrure
fur sample|Échantillon de fourrure
fury ornament kit|Kit de décoration Fury
fuse|Fusible
gadderhammer|Gadderhammer
gale catcher|Capteur de vent
gale catcher schematic|Schéma du capteur de vent
game book|Livre de jeux
games necklace|Collier de jeux
gang meeting info|Informations sur la réunion du gang
garden brush|Brosse de jardin
garden cane|Canne de jardin
garden fence|Clôture de jardin
garden pie|Tarte de jardin
gardening boots|Bottes de jardinage
gardening trowel|Pelle de jardinage
garlic|Ail
garlic powder|Poudre d'ail
gas mask|Masque à gaz
gatherer scroll|Parchemin du cueilleur
gauntlet cape|Cape à gantelets
gazebo|Gazebo
gear|Équipement
gem bag|Sac à gemmes
generator crank|Manivelle de générateur
gertrude's comb|Peigne de Gertrude
ghommal's avernic defender 5|Défenseur avernique de Ghommal 5
ghommal's avernic defender 6|Défenseur avernique de Ghommal 6
ghommal's hilt 1|Poignée de Ghommal 1
ghommal's hilt 2|Poignée de Ghommal 2
ghommal's hilt 3|Poignée de Ghommal 3
ghommal's hilt 4|Poignée de Ghommal 4
ghommal's hilt 5|Poignée de Ghommal 5
ghommal's hilt 6|Poignée de Ghommal 6
ghommal's lucky penny|Pièce porte-bonheur de Ghommal
ghorrock teleport|Téléportation de Ghorrock
ghost buster 500|Ghost buster 500
ghost's skull|Crâne de fantôme
ghostly boots|Bottes fantomatiques
ghostly cloak|Cape fantomatique
ghostly gloves|Gants fantomatiques
ghostly hood|Capuche fantomatique
ghostly robe|Robe fantomatique
ghostspeak amulet|Amulette Ghostspeak
ghoul bone|Os de goule
ghoul champion scroll|Parchemin du champion goule
ghrazi rapier|Rapière Ghrazi
ghrim's book|Livre de Ghrim
gianne dough|Pâte Gianne
gianne's cook book|Livre de recettes de Gianne
giant bat wing|Aile de chauve-souris géante
giant blue krill|Krill bleu géant
giant bones|Os géants
giant boot|Botte géante
giant boulder|Roche géante
giant bronze dagger|Dague géante en bronze
giant carp|Carpe géante
giant champion scroll|Parchemin du champion géant
giant crab meat|Chair de crabe géant
giant dwarf|Nain géant
giant eagle|Aigle géant
giant easter egg|Œuf de Pâques géant
giant egg sac|Sac à œufs géant
giant frog legs|Cuisses de grenouille géantes
giant key|Clé géante
giant krill|Krill géant
giant krill head|Tête de krill géant
giant nib|Plume géante
giant pen|Stylo géant
giant pouch|Pochette géante
giant present|Cadeau géant
giant rat bone|Os de rat géant
giant seaweed|Algue géante
giant squirrel|Écureuil géant
giant stopwatch|Chronomètre géant
giants foundry tester|Testeur de fonderie géant
giantsoul amulet|Amulette géante
gielinor's flora - allotments|Flore de Gielinor - parcelles
gielinor's flora - bushes|Flore de Gielinor - buissons
gielinor's flora - flowers|Flore de Gielinor - fleurs
gielinor's flora - fruit|Flore de Gielinor - fruits
gielinor's flora - herbs|Flore de Gielinor - herbes
gielinor's flora - hops|Flore de Gielinor - houblon
gielinor's flora - trees|Flore de Gielinor - arbres
gilded 2h sword|Épée à deux mains dorée
gilded 4-poster|Lit à baldaquin doré
gilded adventure log|Journal d'aventure doré
gilded altar|Autel doré
gilded armour set|Ensemble d'armure doré
gilded axe|Hache dorée
gilded bench|Banc doré
gilded boots|Bottes dorées
gilded cape rack|Porte-cape doré
gilded chainbody|Cotte de mailles dorée
gilded clock|Horloge dorée
gilded coif|Coiffe dorée
gilded cross|Croix dorée
gilded d'hide body|Corps en cuir doré
gilded d'hide chaps|Jambières en cuir doré
gilded d'hide vambraces|Vantards en cuir doré
gilded decoration|Décoration dorée
gilded display|Présentoir doré
gilded dragonhide set|Ensemble en cuir de dragon doré
gilded dresser|Commode dorée
gilded four-poster|Lit à baldaquin doré
gilded full helm|Casque intégral doré
gilded hasta|Hasta doré
gilded kiteshield|Bouclier en forme de cerf-volant doré
gilded magic wardrobe|Armoire magique dorée
gilded med helm|Casque médiéval doré
gilded mounted head display|Tête montée dorée
gilded pickaxe|Pioche dorée
gilded platebody|Plateforme dorée
gilded platelegs|Jambières dorées
gilded plateskirt|Jupe dorée
gilded portal nexus|Nœud de portail doré
gilded scimitar|Cimeterre doré
gilded smile flag|Drapeau sourire doré
gilded spade|Bêche dorée
gilded spear|Lance dorée
gilded sq shield|Bouclier carré doré
gilded staff of collection|Bâton de collection doré
gilded throne|Trône doré
gilded totem|Totem doré
gilded wardrobe|Armoire dorée
gin|Gin
gingerbread gnome|Gnome en pain d'épice
gingerbread shield|Bouclier en pain d'épice
giral bat|Chauve-souris Giral
glacial temotli|Temotli glacial
glarial's amulet|Amulette de Glarial
glarial's pebble|Caillou de Glarial
glarial's urn|Urne de Glarial
glassblowing book|Livre sur le soufflage du verre
glassblowing pipe|Pipe de soufflage du verre
glistening pearl|Perle scintillante
glistening tear|Larme scintillante
globe|Globe
globetrotter pendant|Pendentif Globetrotter
glorious arena|Arène glorieuse
glough's journal|Journal de Glough
glough's key|Clé de Glough
glove rack|Porte-gants
gloves of darkness|Gants des ténèbres
gloves of ruin|Gants de la ruine
gloves of silence|Gants du silence
gloves of the damned|Gants des damnés
glowing dagger|Dague lumineuse
glowing fungus|Champignon lumineux
gnome|Gnome
gnome amulet|Amulette de gnome
gnome bench|Banc de gnome
gnome cake|Gâteau de gnome
gnome child|Enfant gnome
gnome child backpack|Sac à dos d'enfant gnome
gnome child hat|Chapeau d'enfant gnome
gnome child icon|Icône d'enfant gnome
gnome child mask|Masque d'enfant gnome
gnome child plush|Peluche d'enfant gnome
gnome goggles|Lunettes de gnome
gnome royal seal|Sceau royal gnome
gnome scarf|Écharpe gnome
gnome spice|Épice gnome
gnomeball|Balle gnome
gnomebowl mould|Moule à bol gnome
gnomish firelighter|Allume-feu gnome
goading potion|Potion d'excitation
goat dung|Bouse de chèvre
goat horn dust|Poussière de corne de chèvre
goblin book|Livre gobelin
goblin cake|Gâteau gobelin
goblin champion scroll|Parchemin du champion gobelin
goblin decorations|Décorations gobelines
goblin gifts|Cadeaux gobelins
goblin kitchen key|Clé de cuisine gobeline
goblin mail|Courrier gobelin
goblin mask|Masque gobelin
goblin paint cannon|Canon à peinture gobelin
goblin potion|Potion gobeline
goblin skull|Crâne gobelin
goblin stew|Ragoût gobelin
goblin symbol book|Livre des symboles gobelins
goblin village sphere|Sphère du village gobelin
godsword blade|Lame de l'épée divine
godsword shard 1|Fragment de l'épée divine 1
godsword shard 2|Éclat d'épée divine 2
godsword shard 3|Éclat d'épée divine 3
godsword shards 1 & 2|Éclats d'épée divine 1 & 2
godsword shards 1 & 3|Éclats d'épée divine 1 & 3
godsword shards 2 & 3|Éclats d'épée divine 2 & 3
gold amulet|Amulette en or
gold bar|Lingot d'or
gold bowl|Bol en or
gold bracelet|Bracelet en or
gold candlesticks|Bougeoirs en or
gold coffin|Cercueil en or
gold dust|Poussière d'or
gold elegant blouse|Blouse élégante en or
gold elegant legs|Jambes élégantes en or
gold elegant shirt|Chemise élégante en or
gold elegant skirt|Jupe élégante en or
gold fragment|Fragment d'or
gold headband|Bandeau en or
gold helmet|Casque en or
gold key black|Clé en or noire
gold key brown|Clé en or marron
gold key crimson|Clé en or cramoisie
gold key purple|Clé en or violette
gold key red|Clé en or rouge
gold leaf|Feuille d'or
gold locks|Serrures en or
gold necklace|Collier en or
gold ore|Minerai d'or
gold ore fragment|Fragment de minerai d'or
gold paint|Peinture dorée
gold ring|Bague en or
gold satchel|Sacoche en or
gold seal|Sceau en or
gold sink|Évier en or
gold speedrun trophy|Trophée de speedrun en or
gold tiara|Diadème en or
golden apron|Tablier doré
golden bowl|Bol doré
golden candle|Bougie dorée
golden chef's hat|Toque de chef dorée
golden feather|Plume dorée
golden fleece|Toison d'or
golden goblin|Gobelin doré
golden haddock|Haddock doré
golden hammer|Marteau doré
golden key|Clé dorée
golden needle|Aiguille dorée
golden nugget|Pépite d'or
golden pheasant egg|Œuf de faisan doré
golden pot|Pot doré
golden prospector boots|Bottes de prospecteur dorées
golden prospector helmet|Casque de prospecteur doré
golden prospector jacket|Veste de prospecteur dorée
golden prospector legs|Jambes de prospecteur dorées
golden rings|Bagues dorées
golden scarab|Scarabée doré
golden snowball|Boule de neige dorée
golden statuette|Statuette dorée
golden tench|Tanche dorée
golden tinderbox|Écoper dorée
golden warbler|Fauvette dorée
golden wool|Laine dorée
goldsmith gauntlets|Gantelets d'orfèvre
golem program|Programme Golem
gollwyn's final statement|Dernière déclaration de Gollwyn
golovanova fruit|Fruit Golovanova
golovanova fruit top|Sommet du fruit Golovanova
golovanova seed|Graine Golovanova
golpar|Golpar
golpar seed|Graine Golpar
good anthem|Hymne du bien
good repair kit|Kit de réparation du bien
gooey note|Note gluante
gorak claw powder|Poudre de griffe Gorak
gorak claws|Griffes Gorak
gorgeous orange lily seed|Graine de lys orange magnifique
gorilla bonemeal|Farine d'os de gorille
gorilla bones|Os de gorille
gorilla greegree|Greegree de gorille
gourmet impling jar|Bocal d'impling gourmet
gout tuber|Tubercule de goutte
goutweed|Goutweed
goutweedy lump|Morceau de goutweed
graahk fur|Fourrure de Graahk
graahk headdress|Coiffe de Graahk
graahk horn spur|Éperon en corne de Graahk
graahk legs|Pattes de Graahk
graahk top|Haut de Graahk
gracefish|Gracefish
gracefish scales|Écailles de Gracefish
graceful boots|Bottes gracieuses
graceful cape|Cape gracieuse
graceful crafting kit|Kit d'artisanat gracieux
graceful gloves|Gants gracieux
graceful hood|Capuche gracieuse
graceful legs|Jambes gracieuses
graceful top|Haut gracieux
grail bell|Cloche du Graal
grain|Grain
grand seed pod|Grande cosse
granite|Granit
granite body|Corps en granit
granite boots|Bottes en granit
granite cannonball|Boulet de canon en granit
granite clamp|Pince en granit
granite dust|Poussière de granit
granite gloves|Gants en granit
granite hammer|Marteau en granit
granite helm|Casque en granit
granite legs|Jambes en granit
granite longsword|Épée longue en granit
granite maul|Massue en granit
granite ring|Anneau en granit
granite shield|Bouclier en granit
granite tablet|Tablette en granit
grape barrel|Tonneau de raisin
grape seed|Pépins de raisin
grapes|Raisins
grapple|Grappin
grass seed|Graines d'herbe
grassland habitat|Habitat prairie
gravedigger boots|Bottes de fossoyeur
gravedigger gloves|Gants de fossoyeur
gravedigger leggings|Jambières de fossoyeur
gravedigger mask|Masque de fossoyeur
gravedigger top|Haut de fossoyeur
gravestone|Pierre tombale
great repair kit|Grand kit de réparation
great white shark fin|Aileron de grand requin blanc
great white shark heart|Cœur de grand requin blanc
great white shark jaw|Mâchoire de grand requin blanc
great white shark liver|Foie de grand requin blanc
greater demon mask|Masque de démon supérieur
greater magic cage|Cage magique supérieure
greater magical balance|Équilibre magique supérieur
greater siren|Sirène supérieure
greater teleport focus|Focus de téléportation supérieur
green banner|Bannière verte
green boater|Canotier vert
green boots|Bottes vertes
green bouncy ball|Balle rebondissante verte
green candy|Bonbon vert
green cape|Cape verte
green circle|Cercle vert
green crystal|Cristal vert
green d'hide body|Corps en peau verte
green d'hide chaps|Jambières en peau verte
green d'hide shield|Bouclier en peau verte
green d'hide vambraces|Brassards en peau verte
green dark bow paint|Peinture verte pour arc sombre
green destabiliser|Déstabilisateur vert
green dragon leather|Cuir de dragon vert
green dragon mask|Masque de dragon vert
green dragonhide|Peau de dragon verte
green dragonhide set|Ensemble en peau de dragon verte
green dye|Teinture verte
green dye bellows|Soufflet de teinture verte
green egg|Œuf vert
green elegant blouse|Blouse élégante verte
green elegant legs|Jambes élégantes vertes
green elegant shirt|Chemise élégante verte
green elegant skirt|Jupe élégante verte
green fireflies|Lucioles vertes
green firelighter|Allume-feu vert
green gingerbread shield|Bouclier en pain d'épice vert
green gloop soup|Soupe gluante verte
green goblin mail|Cotte de mailles verte
green halloween mask|Masque d'Halloween vert
green hat|Chapeau vert
green headband|Bandeau vert
green logs|Bûches vertes
green marionette|Marionnette verte
green naval shirt|Chemise navale verte
green navy slacks|Pantalon naval vert
green paper hat|Chapeau en papier vert
green partyhat|Chapeau de fête vert
green pentagon|Pentagone vert
green powder|Poudre verte
green rainbow strand|Fil arc-en-ciel vert
green robe bottoms|Bas de robe verte
green robe top|Haut de robe verte
green satchel|Sacoche verte
green slayer helmet|Casque de tueur vert
green spiky vambraces|Brassards verts à pointes
green square|Carré vert
green sweets|Bonbons verts
green toad|Crapaud vert
green triangle|Triangle vert
green tricorn hat|Chapeau tricorne vert
greenman carving|Sculpture de Greenman
greenman mask|Masque de Greenman
