english|french
dark ankou|Dark Ankou
dark beast|Dark beast
dark energy core|Dark energy core
dark kebbit|Dark kebbit
dark mage|Dark Mage
dark squall|Dark Squall
dark warrior|Dark warrior
dark wizard|Sorcier noir
darkmeyer slave|Esclave de Darkmeyer
darren|Darren
dartog|Dartog
darve|Darve
daryl|Daryl
dashing kebbit|Kebbit fringant
dave|Dave
davey|Davey
david|David
davon|Davon
dawn|Aube
dead monk|Moine mort
dead wolf|Loup mort
deadly red spider|Araignée rouge mortelle
death|Mort
death spawn|Apparition de la mort
death wing|Aile de la mort
deathly mage|Mage mortel
deathly ranger|Ranger mortel
deathlyfuture3|DeathlyFuture3
debra|Debra
debug man|Debug Man
debug woman|Femme débogueuse
deckchair|Chaise longue
deep sea kraken|Kraken des profondeurs
defiler|Profanateur
definitely not dusk|Certainement pas le crépuscule
del-monty|Del-Monty
delf|Delf
delrith|Delrith
demon|Démon
demon butler|Majordome démoniaque
demon of balance|Démon de l'équilibre
demon of darkness|Démon des ténèbres
demon of light|Démon de la lumière
demonic gorilla|Gorille démoniaque Levele 1
demonic larva|Larve démoniaque
denadu|Denadu
denath|Denath
denulth|Denulth
deranged archaeologist|Archéologue dérangé
derni|Derni
dernu|Dernu
derrik|Derrik
derse venator|Derse Venator
derwen|Derwen
desert eagle|Aigle du désert
desert lizard|Lézard du désert
desert phoenix|Phénix du désert
desert spirit|Esprit du désert
desert wolf|Loup du désert
desmodus lasiurus|Desmodus Lasiurus
despoina callidra|Despoina Callidra
dessourt|Dessourt
dessous|Dessous
devan rutter|Devan Rutter
deviant spectre|Spectre déviant
deviled dave|Dave le diabolique
devin mendelberg|Devin Mendelberg
dhalak|Dhalak
dharok the wretched|Dharok le misérable
diana|Diana
diango|Diango
dig site workman|Ouvrier du site de fouilles
digsite workman|Ouvrier du site de fouilles Levele 1
dimintheis|Dimintheis
dinky the drink troll|Dinky le troll buveur
diol|Diol
dipflip|Dipflip
diphylla bechstein|Diphylla Bechstein
dire gryphon|Gryphon féroce
dire wolf|Loup féroce
dire wolf alpha|Loup affamé Alpha
disappointed daughter|Fille déçue
disappointed father|Père déçu
disappointed mother|Mère déçue
disciple of iban|Disciple d'Iban
disciple of yama|Disciple de Yama
disk of returning|Disque du retour
dobwinkle|Dobwinkle
dock worker|Ouvrier du quai Levele 1
dockmaster|Dockmaster
doctor orbon|Doctor Orbon
dodgy geezer|Dodgy geezer
dodgy squire|Dodgy Squire
doe|Doe
dog|Dog
doll|Doll
dolph|Dolph
dolphin|Dolphin
dolphin calf|Dolphin calf
dom|Dom
dominic onion|Dominic Onion
dominicus, teoki of ranul|Dominicus, Teoki de Ranul
dommik|Dommik
don|Don
don't know what|Je ne sais pas quoi
donal|Donal
dondakan the dwarf|Dondakan le nain Levele Pas de pioche
donie|Donie
donny the lad|Donny le garçon
donovan the family handyman|Donovan le bricoleur de la famille
doom of mokhaiotl|Doom of Mokhaiotl
doom scorpion|Doom Scorpion
doomion|Doomion
doomsayer|Doomsayer
door guard|Door Guard
door man|Door man
door-support|Door-support
doria|Doria
doric|Doric
doris|Doris
double agent|Double agent
doug deeping|Doug Deeping
doughphie|Doughphie
doyen|Doyen
dr banikan|Dr Banikan
dr fenkenstrain|Dr Fenkenstrain
dr ford|Dr Ford
dr harlow|Dr Harlow
dr jekyll|Dr Jekyll
draconis sanguine|Draconis Sanguine
dragon display|Exposition de dragons
dragon egg|Œuf de dragon
dragon impling|Impling dragon
dragonkin|Dragonkin
drain pipe|Tuyau d'évacuation
drake|Drake
drasdan ranor|Drasdan Ranor
draul leptoc|Draul Leptoc
draven quillshade|Draven Quillshade
dreadborn araxyte|Dreadborn Araxyte
dreven|Dreven
drew|Drew
drezel|Drezel
driftwood|Driftwood
drill sergeant|Sergent instructeur
drink troll|Troll buveur
drink troll queen|Reine des trolls buveurs
droalak|Droalak
drogo dwarf|Nain Drogo
dromund|Dromund
dromund's cat|Chat de Dromund
dron|Dron
druid|Druide
druid spirit|Esprit druide
drunken ali|Ali l'ivrogne
drunken dwarf|Nain ivrogne
drunken dwarf's leg|Jambe de nain ivrogne
drunken man|Homme ivre
drunken soldier|Soldat ivre
dryad|Dryade
duck|Canard
duckling|Caneton
ducklings|Canetons
duel guide|Guide du duel
duelist|Duelliste
dugopul|Dugopul
duke|Duke
duke horacio|Duke Horacio
duke rabbacio|Duke Rabbacio
duke sucellus|Duc Sucellus
dumpy|Dumpy
dunce|Dunce
dung|Dung
dungeon rat|Rat des donjons
dunstan|Dunstan
duradel|Duradel
durgok|Durgok
durial321|Durial321
durrik|Durrik
dusk|Dusk
dust devil|Tourbillon de poussière
dusty aliv|Dusty Aliv
dusuri|Dusuri
dwarf|Nain
dwarf gang member|Membre du gang des nains
dwarven boatman|Bateau nain
dwarven engineer|Ingénieur nain
dwarven ferryman|Passeur nain
dwarven miner|Mineur nain
dylan|Dylan
eadburg|Eadburg
eadgar|Eadgar
eagle|Aigle
eagle ray|Raie aigle
eagle spirit|Esprit aigle
earth elemental|Élémentaire de terre
earth impling|Impling de terre
earth spell|Sort de terre
earth warrior|Guerrier de la terre
earth warrior champion|Champion guerrier de la terre
earth wizard|Sorcier de la terre
earthen nagua|Nagua de terre
earthen shield|Bouclier de terre
earwen|Earwen
easter bunny|Lapin de Pâques
easter duck|Canard de Pâques
easter egg|Œuf de Pâques
easter egg bird|Oiseau œuf de Pâques
easter ring|Anneau de Pâques
ebenezer1843|Ebenezer1843
eblis|Eblis
ecatl|Ecatl
eclectic impling|Impling éclectique
eclipse moon|Lune d'éclipse
ed|Ed
ed wood|Ed Wood
edmond|Edmond
edrahil|Edrahil
eduard|Eduard
edward|Edward
eebel|Eebel
eek|Eek
efa|Efa
effigy|Effigie
eg|Eg
egg|Œuf
egg launcher|Lanceur d'œufs
egg mine cart|Chariot à œufs
egg priest|Prêtre aux œufs
eggus manus|Eggus Manus
eggy|Eggy
ehecatl|Ehecatl
einar|Einar
eira|Eira
ek'ans chan|Ek'ans Chan
ektheme|Ektheme
eldalote|Eldalote
elder aquanite|Ancien aquanite
elder blunn|Ancien Blunn
elder chaos druid|Ancien druide du chaos
elder coco|Ancien Coco
elder custodian stalker|Ancien gardien traqueur
elder gnome child|Ancien enfant gnome
elder guard|Ancien garde
elder hubber|Ancien Hubber
elder katt|Ancien Katt
elder kelmo|Ancien Kelmo
elder korel|Ancien Korel
elder krill|Ancien Krill
elder nama|Ancien Nama
elder raley|Ancien Raley
elder reggle|Ancien Reggle
elder root|Ancien Root
elder strom|Ancien Strom
elder torgan|Ancien Torgan
eldgrim|Eldgrim
eldric the ice king|Eldric le roi des glaces
eleanor|Eleanor
elemental rock|Roche élémentaire
elena|Elena
elena hosidius|Elena Hosidius
elenwe|Elenwe
eleuia|Eleuia
elf archer|Archer elfe
elf tracker|Traqueur elfe
elf warrior|Guerrier elfe
elfinlocks|Elfinlocks
elgan|Elgan
elias white|Elias White
elidinis' warden|Gardien d'Elidinis
elijah|Elijah
elisabeta|Elisabeta
elise|Elise
elissa|Elissa
elite black knight|Chevalier noir d'élite
elite dark mage|Mage noir d'élite
elite dark ranger|Ranger noir d'élite
elite dark warrior|Guerrier noir d'élite
elite khazard guard|Garde Khazard d'élite
elite void knight|Chevalier du Vide d'élite
eliza|Eliza
elizabeth|Elizabeth
elkoy|Elkoy
elladan|Elladan
ellen|Ellen
ellena|Ellena
ellie|Ellie
ellis|Ellis
elly the camel|Elly la chamelle
elnes|Elnes
elnock inquisitor|Inquisiteur Elnock
elsie|Elsie
elson|Elson
elstan|Elstan
eluned|Eluned
elvarg|Elvarg
elven city guard|Garde de la cité elfique
elven scout|Éclaireur elfique
embalmer|Embaumeur
embertailed jerboa|Jerboa à queue de braise
emblem trader|Marchand d'emblèmes
emelio|Emelio
emem sharma|Emem Sharma
emerald benedict|Emerald Benedict
emilia|Emilia
emily|Emily
emissary acolyte|Émissaire acolyt
emissary archer|Archer émissaire Levele 1
emissary ascended|Émissaire ascensionné Levele 1
emissary brawler|Émissaire bagarreur Levele niveau 74
emissary chef|Émissaire chef
emissary chosen|Émissaire élu
emissary conjurer|Émissaire Conjureur Levele 1
emissary enforcer|Émissaire Exécuteur
emissary fisher|Émissaire Pêcheur
emissary forebearer|Précurseur émérite
emissary herder|Berger émérite
emma|Emma
enakhra|Enakhra Levele Cinématique
enchanted broom|Balai enchanté
enchanted bucket|Seau enchanté Levele 1
enchantment guardian|Gardien enchanté
enclave guard|Garde de l'enclave
enel|Enel
enelye|Enelye
enerdhil|Enerdhil
energy focus|Concentration d'énergie Levele 1
energy siphon|Siphon d'énergie
energy sprite|Sprite d'énergie
engineer|Ingénieur
engineering assistant|Assistant ingénieur Levele 1
enilly|Enilly
eniola|Eniola
ennius tullus|Ennius Tullus
enormous tentacle|Tentacule énorme
enraged barbarian spirit|Esprit barbare enragé
enraged boar|Sanglier enragé
ent|Ent
entling|Entling
entomologist|Entomologiste
entrana firebird|Oiseau de feu d'Entrana
entrance guardian|Gardien de l'entrée
eodan|Eodan
eohric|Eohric
eoin|Eoin
episcula helsing|Episcula Helsing
erasmus|Erasmus
ercos|Ercos
erdan|Erdan
erestor|Erestor
eric|Eric
ermin|Ermin
ernest|Ernest
erodoeht|Erodoeht
escaping slave|Esclave en fuite
essence impling|Essence impling
essyllt|Essyllt
estate agent|Agent immobilier
esther|Esther
ethereal being|Être éthéré
ethereal expert|Expert éthéré
ethereal fluke|Hasard éthéré
ethereal guide|Guide éthéré
ethereal lady|Dame éthérée
ethereal man|Homme éthéré
ethereal mimic|Mimique éthérée
ethereal numerator|Numérateur éthéré
ethereal perceptive|Perceptif éthéré
etz|Etz
eudav|Eudav
eve|Eve
evelot|Evelot
evil bob|Bob le maléfique
evil chicken|Poulet maléfique
evil creature|Créature maléfique
evil dave|Dave maléfique
evil spirit|Esprit maléfique
ewesey|Ewesey
ex-captain siad|Ex-capitaine Siad
examiner|Examinateur
executioner|Bourreau
experiment|Expérience
experiment no.2|Expérience Levele 2
eyatlalli|Eyatlalli
eye|Œil
ezco, teoki of ranul|Ezco, Teoki de Ranul
ezekial lovecraft|Ezekial Lovecraft
faaid|Faaid
fabia|Fabia
factory manager|Directeur d'usine
factory worker|Ouvrier d'usine Levele 1
fadli|Fadli
fairy|Fée
fairy aeryka|Fée Aeryka
fairy chef|Chef fée
fairy fixit|Fée Fixit
fairy godfather|Fée marraine
fairy nuff|Fée Nuff
fairy queen|Reine des fées
fairy shop assistant|Vendeuse fée
fairy shop keeper|Propriétaire de boutique fée
fairy very wise|Fée très sage
fake man|Faux homme
falo the bard|Falo le barde
famished shark|Requin affamé
fancy dan|Fancy Dan
fanellaman|Fanellaman
fareed|Fareed
farid morrisane|Farid Morrisane
farmer|Fermier
farmer brumty|Fermier Brumty
farmer fromund|Fermier Fromund
farmer gricoller|Fermier Gricoller
farmer hayfield|Fermier Hayfield
farmer maggot|Fermier Maggot
farolt|Farolt
fat rocco|Fat Rocco
fat tony|Fat Tony
father aereck|Père Aereck
father badden|Père Badden
father buckerek|Père Buckerek
father eysseric|Père Eysseric
father gnome|Père Gnome
father jean|Père Jean
father lawrence|Père Lawrence
father reen|Père Reen
father urhney|Père Urhney
faustus|Faustus
fayeth|Fayeth
feanor|Feanor
fear reaper|Fear reaper
felfiz yaryus|Felfiz Yaryus
felius|Felius
felix|Felix
felkrash|Felkrash
female amur leopard|Femelle léopard d'Amour
female lion|Femelle lion
female slave|Esclave féminine
female snow leopard|Femelle léopard des neiges
female tiger|Femelle tigre
femi|Femi
fennec fox|Renard fennec
fennec fox cub|Petit renard fennec
fenric hollowspire|Fenric Hollowspire
ferain|Ferain
feral vampyre|Vampire sauvage
ferd|Ferd
fernahei|Fernahei
ferocious barbarian spirit|Esprit barbare féroce
ferox|Ferox
ferret|Furet
ferryman nathwood|Passeur Nathwood
ferryman sathwood|Passeur Sathwood
festive cook|Cuisinier festif
fever spider|Araignée fiévreuse
ffoni|Ffoni
fidelio|Fidelio
fighter|Combattant
filamina|Filamina
filliman tarlock|Filliman Tarlock
financial seer|Voyant financier
financial wizard|Sorcier financier
finarfin|Finarfin
findis|Findis
finduilas|Finduilas
fingolfin|Fingolfin
fingon|Fingon
finn|Finn
fionella|Fionella
fior|Fior
fiora|Fiora
fire|Feu
fire elemental|Élémentaire de feu
fire giant|Géant de feu
fire spell|Sort de feu
fire warrior of lesarkus|Guerrier de feu de Lesarkus
fire wave|Vague de feu
fire wizard|Sorcier de feu
first mate 'davey-boy'|Premier lieutenant « Davey-boy »
first mate deri|Premier lieutenant Deri
first mate peri|Premier lieutenant Peri
fish|Poisson
fish monger|Poissonnier
fish shoal|Banc de poissons
fishbowl|Bocal à poissons
fisher|Pêcheur Levele 1
fisherman|Pêcheur
fisherman frodi|Pêcheur Frodi
fishing spot|Lieu de pêche
fishing tutor|Tuteur de pêche
fishmonger|Poissonnier
fishrunner82|Fishrunner82
fiyr shade|Fiyr Shade
flambeed|Flambeed
flaming pyrelord|Flaming pyrelord
flawed golem|Golem imparfait
flax keeper|Gardien du lin
flaygian screwte|Flaygian Screwte
flesh crawler|Flesh Crawler
flies|Mouches
flight kilisa|Flight Kilisa
flippa|Flippa
floating column|Colonne flottante
flockleader geerin|Chef de troupeau Geerin
floki|Floki
floopa|Floopa
floria|Floria
florin|Florin
flosi dalksson|Flosi Dalksson
flower|Fleur
flower girl|Fleuriste
flowering bush|Buisson fleuri
fly trap|Piège à mouches
flying book|Livre volant
flying papers|Papiers volants
flying squirrel|Écureuil volant
flynn|Flynn
forebearer fides|Ancêtre Fides
forebearer honos|Ancêtre Honos
forebearer janus|Ancêtre Janus
forebearer vulcan|Forebearer Vulcan
foreman|Foreman
forester|Forester
forgotten soul|Forgotten Soul
former vampyre|Ancien vampire
fornek quo maten|Fornek quo Maten
fortress guard|Garde de la forteresse
fortunato|Fortunato
fossegrimen|Fossegrimen
fossil collector|Collectionneur de fossiles
fox|Renard
fox trap|Piège à renard
fragment of seren|Fragment de Seren
francis|Francis
francois|François
frank|Frank
frankie|Frankie
franklin caranos|Franklin Caranos
freaky forester|Forestier bizarre
freald|Freald
fred the farmer|Fred le fermier
freidir|Freidir
freja|Freja
fremennik warband archer|Archer de la bande de guerre Fremennik
fremennik warband berserker|Berserker de la bande de guerre Fremennik
fremennik warband seer|Voyant de la bande de guerre Fremennik
fremennik warrior|Guerrier fremennik
frenita|Frenita
frenzied ice troll female|Troll des glaces frénétique femelle
frenzied ice troll grunt|Troll des glaces frénétique grognon
frenzied ice troll male|Troll des glaces frénétique mâle
frenzied ice troll runt|Troll des glaces frénétique chétif
freygerd|Freygerd
fridgeir|Fridgeir
fridleif shieldson|Fridleif Shieldson
friendly bees|Abeilles amicales
friendly ent|Ent amical
friendly forester|Forestier amical
frigatebird|Frigatebird
frightened fox|Renard effrayé
frincos|Frincos
fritz the glassblower|Fritz le souffleur de verre
frizzy skernip|Frizzy Skernip
frog|Grenouille
frog prince|Prince grenouille
frog princess|Princesse grenouille
frogeel|Frogeel
froono|Froono
frost crab|Crabe des glaces
frost dragon|Dragon des glaces
frost nagua|Nagua des glaces
frosty snakeling|Serpent des glaces
frosty spider|Araignée des glaces
frozen orb|Orbe gelé
frozen weapons|Armes gelées
fruit bat|Chauve-souris frugivore
fry|Fry
fuggy|Fuggy
fullangr|Fullangr
fumus|Fumus
funbo|Funbo
fur merchant|Marchand de fourrures
fur trader|Marchand de fourrures
furia tullus|Furia Tullus
furnace grate|Grille de fourneau
fycie|Fycie
fyiona fray|Fyiona Fray
g.l.o. caranock|G.L.O. Caranock
gabba, apprentice coral farmer|Gabba, apprenti cultivateur de corail
gabooty|Gabooty
gabriela|Gabriela
gadderanks|Gadderanks
gadrin|Gadrin
gaius|Gaius
galahad|Galahad
galana|Galana
galathil|Galathil
galina|Galina
gallow|Gallow
galna|Galna
galvek|Galvek
gamer|Gamer
gamfred|Gamfred
gang boss|Chef de gang
gangster|Gangster
garai|Garai
garbek quo maten|Garbek quo Maten
garden supplier|Fournisseur de jardinage
gardener|Jardinier
gardener ghost|Jardinier fantôme
gardener gunnhild|Jardinier Gunnhild
gardener jay jr.|Jardinier Jay Jr.
gargh|Gargh
gargoyle|Gargouille
garkor|Garkor
garl|Garl
garth|Garth
garv|Garv
gary|Gary
gate of war|Porte de la guerre
gatekeeper|Gardien
gauss|Gauss
gecko|Gecko
gee|Gee
gelatinnoth mother|Gelatinnoth Mother
gelin|Gelin
gelmir|Gelmir
gem|Gem
gem merchant|Marchand de gemmes
gem trader|Négociant en gemmes
gemstone crab|Crabe gemme
gene|Gène
general babacus|Général Babacus
general bentnoze|Général Bentnoze
general danknuck|Général Danknuck
general graardor|Général Graardor
general hining|Général Hining
general khazard|Général Khazard
general kilian|Général Kilian
general salara|Général Salara
general vir|Général Vir
general wartface|Général Wartface
generic diplomat|Diplomate générique
generous treater|Généreux traiteur
genie|Génie
george laxmeister|George Laxmeister
georgy|Georgy
gerald|Gerald
gerardus|Gerardus
gerrant|Gerrant
gertrude|Gertrude
gertrude's cat|Le chat de Gertrude
gethin|Gethin
ghaslor the elder|Ghaslor l'Ancien
ghast|Ghast
ghommal|Ghommal
ghost|Fantôme
ghost banker|Banquier fantôme
ghost captain|Capitaine fantôme
ghost cat|Chat fantôme
ghost disciple|Disciple fantôme
ghost farmer|Fermier fantôme
ghost guard|Garde fantôme
ghost innkeeper|Aubergiste fantôme
ghost sailor|Marin fantôme
ghost shopkeeper|Commerçant fantôme
ghost villager|Villageois fantôme
ghostly figure|Silhouette fantomatique
ghostly thrall|Esclave fantomatique
ghoul|Goule
ghoul champion|Champion goule
gianne jnr.|Gianne jnr.
giant|Géant
giant ant|Fourmi géante
giant bat|Chauve-souris géante
giant champion|Champion géant
giant clam|Palourde géante
giant crypt rat|Rat géant des cryptes
giant crypt spider|Araignée géante des cryptes
giant frog|Grenouille géante
giant goblin|Gobelin géant
giant lobster|Homard géant
giant mole|Taupe géante
giant mosquito|Moustique géant
giant rat|Rat géant
giant roc|Roc géant
giant rock crab|Crabe géant des rochers
giant rockslug|Escargot géant
giant scarab|Scarabée géant
giant sea snake|Serpent de mer géant
giant skeleton|Squelette géant
giant snail|Escargot géant
giant spider|Araignée géante
giant squirrel|Écureuil géant
giant toad|Crapaud géant
giant wasp|Guêpe géante
gielinor guide|Guide de Gielinor
gilbert|Gilbert
giles|Giles
gileth|Gileth
gillie groats|Gillie Groats
giral bat|Chauve-souris Giral
gita prymes|Gita Prymes
glacies|Glacies
gladiator|Gladiateur
glanton|Glanton
glenda|Glenda
glod|Glod
glorfindel|Glorfindel
gloria|Gloria
gloria kebbit-monkfish|Gloria Kebbit-Monkfish
glough|Glough
glouphrie the untrusted|Glouphrie l'Indigne
glowing crystal|Cristal lumineux
gnocci the cook|Gnocci le cuisinier
gnome|Gnome
gnome archer|Gnome archer
gnome ball referee|Arbitre gnome
gnome baller|Joueur gnome
gnome banker|Banquier gnome
gnome child|Enfant gnome
gnome coach|Entraîneur gnome
gnome driver|Chauffeur gnome
gnome emissary|Émissaire gnome
gnome guard|Garde gnome
gnome inspector|Inspecteur gnome
gnome mage|Mage gnome
gnome shop keeper|Commerçant gnome
gnome soldier|Soldat gnome
gnome trainer|Entraîneur gnome
gnome traveller|Voyageur gnome Levele 1
gnome troop|Troupe gnome
gnome waiter|Serveur gnome
gnome winger|Ailier gnome
gnome woman|Femme gnome
gnormadium avlafrim|Gnormadium Avlafrim
gnosi|Gnosi
goat|Chèvre
goat poo|Crottes de chèvre
goblin|Gobelin
goblin champion|Champion gobelin
goblin cook|Cuisinier gobelin
goblin fish|Poisson gobelin
goblin guard|Garde gobelin
goblin lieutenant|Lieutenant gobelin
goblin priest|Prêtre gobelin
goblin raider|Pillard gobelin
goblin recruiter|Recruteur gobelin
goblin scribe|Scribe gobelin
godric|Godric
gold ore|Minerai d'or
golden sheep|Mouton doré
golden warbler|Fauvette dorée
golem|Golem
golem guard|Golem garde
golova|Golova
golrie|Golrie
goopy snake|Serpent gluant
goose|Oie
gorad|Gorad
gorak|Gorak
gordon|Gordon
goreu|Goreu
gorhak quo narga|Gorhak quo Narga
gorilla|Gorille
gossip|Gossip
gourmet|Gourmet
gourmet impling|Gourmet impling
gpdt employee|Employé GPDT
grace|Grace
gracefish shoal|Gracefish Shoal
grail maiden|Grail Maiden
grand exchange clerk|Grand Exchange Clerk
grandpa jack|Grandpa Jack
grave|Grave
grave digger|Grave digger
grave scorpion|Grave scorpion
graveyard guardian|Gardien du cimetière
gravingas|Gravingas
greasycheeks|Greasycheeks
great olm|Grand Olm
great white shark|Grand requin blanc
greater abyssal demon|Grand démon abyssal
greater demon|Démon supérieur
greater ghostly thrall|Esclave fantomatique supérieur
greater nechryael|Grand Nechryael
greater skeletal thrall|Esclave squelettique supérieur
greater skeleton hellhound|Grand squelette chien de l'enfer
greater zombified thrall|Esclave zombifié supérieur
greatscott85|GreatScott85
green dragon|Dragon vert
green fireflies|Lucioles vertes
green gemstone director|Directeur des pierres précieuses vertes
green gemstone secretary|Secrétaire des pierres précieuses vertes
green guard|Garde vert
green h'ween mask|Masque d'Halloween vert
green partyhat|Chapeau de fête vert
green sheep|Mouton vert
green skink|Scincide verte
greengrocer|Marchand de fruits et légumes
gregg|Gregg
gregory|Gregory
greldo|Greldo
grew|Grew
grey golem|Golem gris
griems|Griems
grigor rasputin|Grigor Raspoutine
grigore|Grigore
grimesquit|Grimesquit
grimgnash|Grimgnash
grimy lizard|Lézard crasseux
grinka krast|Grinka Krast
grip|Grip
grish|Grish
grizzly bear|Ours grizzly
grizzly bear cub|Ourson grizzly
grotesque guardians|Gardiens grotesques
group ironman tutor|Tuteur Ironman de groupe
group storage tutor|Tuteur Stockage de groupe
growler|Growler
growthling|Growthling
grub|Grub
grubfoot|Grubfoot
grubor|Grubor
gruff mcscruff|Gruff McScruff
grug|Grug
gruh|Gruh
grum|Grum
grundt|Grundt
grunsh|Grunsh
gruva patrull|Gruva Patrull
gryphon|Gryphon
guanic bat|Guanic bat
guard|Garde
guard bandit|Garde bandit
guard captain|Capitaine des gardes
guard dog|Chien de garde
guard recruiter|Recruteur des gardes
guard vemmeldo|Garde Vemmeldo
guardian|Gardien
guardian drake|Gardien Drake
guardian mummy|Gardien momie
guardian of armadyl|Gardien d'Armadyl
guardian thrall|Esclave gardien
guidor|Guidor
guild hunter aco|Chasseur de guilde Aco
guild hunter cervus|Chasseur de guilde Cervus
guild hunter fox|Chasseur de guilde Fox
guild hunter kiko|Chasseur de guilde Kiko
guild hunter ornus|Chasseur de guilde Ornus
guild hunter teco|Chasseur de guilde Teco
guild hunter wolf|Chasseur de guilde Wolf
guild scribe verity|Scribe de guilde Verity
guildmaster|Maître de guilde
guildmaster apatura|Maître de guilde Apatura
guildmaster jane|Maître de guilde Jane
guildmaster lars|Maître de guilde Lars
guilin|Guilin
guinevere|Guinevere
gujuo|Gujuo
gull|Gull
gulldamar|Gulldamar
gulluck|Gulluck
gundai|Gundai
gundik|Gundik
gunnar holdstrom|Gunnar Holdstrom
gunnjorn|Gunnjorn
gunslik|Gunslik
gunthor the brave|Gunthor le courageux
guppa|Guppa
gurl|Gurl
gurtob|Gurtob
gus|Gus
guss mistletoad|Guss Mistletoad
guthan the infested|Guthan l'Infesté
gwallter|Gwallter
gwerin hapus|Gwerin Hapus
gwindor|Gwindor
gwyl|Gwyl
gwyn|Gwyn
gwyna|Gwyna
gyr falcon|Gyr Falcon
h.a.m. archer|Archer H.A.M.
h.a.m. deacon|Diacre H.A.M.
h.a.m. guard|Garde H.A.M.
h.a.m. mage|Mage H.A.M.
h.a.m. member|Membre H.A.M.
habibah|Habibah
hadley|Hadley
haemas lamescus|Haemas Lamescus
haera|Haera
hafuba|Hafuba
hagus|Hagus
hairdresser|Coiffeur
hajedy|Hajedy
haldor quo keran|Haldor quo Keran
half full wine jug|Cruche de vin à moitié pleine
half-soulless|Demi-sans-âme
half-zombie|Demi-zombie
halla|Halla
hallak|Hallak
hallifred|Hallifred
ham member|Membre HAM
hamab|Hamab
hamal the chieftain|Hamal le chef de clan
hambling|Hambling
hameln the jester|Hameln le bouffon
hamid|Hamid
haming|Haming
hammerhead shark|Requin-marteau
hammerspike stoutbeard|Hammerspike Stoutbeard
hanchen the hound|Hanchen le Chien
hangman game|Jeu du pendu
hank|Hank
hannibal|Hannibal
hans|Hans
hari|Hari
haris|Haris
harminia|Harminia
harold|Harold
harold evans|Harold Evans
harpert|Harpert
harpie bug swarm|Essaim de harpies
harpy eagle|Aigle harpie
harrallak menarous|Harrallak Menarous
harry|Harry
harvester|Moissonneuse
haskell|Haskell
hassan|Hassan
hatius cosaintus|Hatius Cosaintus
hatna|Hatna
hats & scarves|Chapeaux et écharpes
haze|Haze
hazeel|Hazeel
hazeel cultist|Cultiste Hazeel
hazelmere|Hazelmere
hazelmere's hat|Chapeau de Hazelmere
head|Tête
head butler|Majordome en chef
head chef|Chef cuisinier
head guard|Chef des gardes
head menaphite guard|Chef des gardes ménaphites
head mourner|Chef des pleureurs
head servant|Serviteur en chef
head thief|Chef voleur
headless beast|Bête sans tête
healing totem|Totem de guérison
healthorg and tortoise|Healthorg et tortue
heckel funch|Heckel Funch
hegio, teoki of ranul|Hegio, Teoki de Ranul
hegir|Hegir
helemos|Helemos
helena|Helena
helga|Helga
hell-rat|Rat de l'enfer
hell-rat behemoth|Rat de l'enfer Behemoth
hellcat|Chat de l'enfer
hellhound|Chien de l'enfer
hellpuppy|Chiot de l'enfer
helpful spirit|Esprit serviable
helvia|Helvia
henderson|Henderson
hendor|Hendor
hengel|Hengel
hengrad|Hengrad
henja|Henja
henryeta carnillean|Henryeta Carnillean
herbi|Herbi
herbiboar|Herbiboar
herman caranos|Herman Caranos
hermit|Hermite
hermit crab|Crabes ermites
hero|Héros
heron|Héron
herquin|Herquin
hervi|Hervi
heskel|Heskel
hespori|Hespori
het|Het
het's seal|Sceau de Het
hetty|Hetty
hewey|Hewey
hickton|Hickton
hieve|Hieve
high priest|Grand prêtre
high priest bighead|Grand prêtre Bighead
high priest of scabaras|Grand prêtre de Scabaras
high priestess zul-harcinqa|Grande prêtresse Zul-Harcinqa
highlord katlo|Grand seigneur Katlo
highwayman|Bandit de grand chemin
hild|Hild
hill giant|Géant des collines
hirko|Hirko
historian aldo|Historien Aldo
historian duffy|Historien Duffy
historian minas|Historien Minas
hiylik myna|Hiylik Myna
hobbes|Hobbes
hobgoblin|Hobgoblin
hobgoblin champion|Champion hobgoblin
hobgoblin guard|Garde hobgoblin
hofuthand|Hofuthand
hogst|Hogst
holgart|Holgart
holly|Holly
holoy|Holoy
holthion|Holthion
homunculus|Homunculus
honest jimmy|Honest Jimmy
honour guard|Garde d'honneur
hooded figure|Personnage encapuchonné
hooded stranger|Étranger encapuchonné
hooknosed jack|Jack au nez crochu
hoop snake|Serpent cerceau
hopeless creature|Créature désespérée
hopleez|Hopleez
hops|Hops
horace|Horace
horacio|Horacio
hordal|Hordal
horned graahk|Graahk à cornes
horphis|Horphis
horvik|Horvik
hosa|Hosa
house|Maison
hrh hrafn|HRH Hrafn
hring hring|Hring Hring
huberte|Huberte
hudo|Hudo
hudon|Hudon
huge spider|Araignée géante
hugh|Hugh
hugor|Hugor
huito|Huito
humphrey dumphrey|Humphrey Dumphrey
humroc|Humroc
hunding|Hunding
hunter guild member|Membre de la guilde des chasseurs
hunting expert|Expert en chasse
huntmaster gilman|Maître chasseur Gilman
hura|Hura
husk|Husk
hutza|Hutza
hydra|Hydra
hygd|Hygd
ian|Ian
iban|Iban
ice block|Bloc de glace
ice demon|Démon des glaces
ice elemental|Élémentaire de glace
ice giant|Géant de glace
ice queen|Reine des glaces
ice spider|Araignée de glace
ice totem|Totem de glace
ice troll|Troll des glaces
ice troll female|Troll de glace femelle
