Hello?|Allô ?
I'm interested... How many pearls are we talking?|Je suis intéressé... De combien de perles parlons-nous ?
I'll give you a hundred pearls for it. What do you say?|Je vous en donne cent. Qu'en dites-vous ?
Trade in your golden tench for 100 molch pearls?|Échanger votre tanche dorée contre 100 perles de molch ?
Are you REALLY sure?|Vous êtes vraiment sûr ?
On seconds thoughts, I'd rather keep it.|À bien y réfléchir, je préfère la garder.
It's a deal.|Marché conclu.
Pleasure doing business with you!|Ce fut un plaisir de faire affaire avec vous !
Well, let me know if you change your mind.|Faites-moi savoir si vous changez d'avis.
Hello again.|Bonjour à nouveau.
Ah, it's you. How are you finding things?|Ah, c'est vous. Comment ça se passe ?
It certainly is a challenge...|C'est certainement un défi...
Yes, your type do often seem to underestimate it! Are you finished?|Oui, les gens comme vous ont souvent tendance à le sous-estimer ! Vous avez terminé ?
Not yet. I think I'll keep trying.|Pas encore. Je pense que je vais continuer d'essayer.
Just come back and let me know when you get tired!|Revenez me voir quand vous serez fatigué !
I'll try again another time.|Je réessaierai une autre fois.
Alry takes back the Cormorant's glove|Alry reprend le gant du Cormoran.
He seems to be in deep concentration.|Il semble être profondément concentré.
...I'll leave you to it.|... Je te laisse faire.
Well hello there. Are you hungry? If so you've come to the right place. Eat green, eat gnome cuisine. My waiter will be glad to take your order.|Bonjour. Tu as faim ? Si oui, tu es au bon endroit. Mangez vert, mangez gnome. Mon serveur se fera un plaisir de prendre votre commande.
On the other hand, if you're looking for some gnome cooking training, this is also the place to be. My son Lufty is looking for staff at the moment.|D'autre part, si vous cherchez une formation en cuisine gnome, vous êtes également au bon endroit. Mon fils Lufty recherche actuellement du personnel.
No thank, I'm no cook.|Non merci, je ne suis pas cuisinier.
In that case, please eat and enjoy.|Dans ce cas, bon appétit.
Ok, I'll give it a go.|D'accord, je vais essayer.
Well that's great. I'm Aluft Gianne, owner of this restaurant, and you are...?|C'est parfait. Je m'appelle Aluft Gianne, je suis le propriétaire de ce restaurant, et vous êtes... ?
Most people call me [player name].|La plupart des gens m'appellent [nom du joueur].
Really? Sorry, how rude of me. It just takes a little while to get used to the funny names you humans have.|Vraiment ? Désolé, je suis désolé. J'ai juste un peu de mal à m'habituer aux noms bizarres que vous avez, vous les humains.
Of course if you're going to work for me I'll have to see what you're like first. Here, take a look at our menu.|Bien sûr, si vous voulez travailler pour moi, je vais d'abord devoir voir ce que vous valez. Tenez, jetez un œil à notre menu.
Aluft hands you a cook book.|Aluft vous tend un livre de cuisine.
When you've had a look at the book, come back here and I'll let you prepare a few dishes.|Quand vous aurez jeté un œil au livre, revenez ici et je vous laisserai préparer quelques plats.
Ok then.|D'accord.
Hi Mr. Gianne.|Bonjour M. Gianne.
Hello [player name]. So what did you think of the book?|Bonjour [nom du joueur]. Alors, qu'avez-vous pensé du livre ?
I'm not too sure about toad's legs.|Je ne suis pas très sûr pour les cuisses de crapaud.
They're a gnome delicacy, very tasty. Chicken tastes like toad's legs you know. You'll love them. If I give you what you need, can you make me some Toad Crunchies?|C'est un mets délicat chez les gnomes, très savoureux. Le poulet a le même goût que les cuisses de crapaud, vous savez. Vous allez adorer. Si je vous donne ce dont vous avez besoin, pouvez-vous me préparer des croustillants de crapaud ?
I'll give it a go.|Je vais essayer.
The dough is made according to a secret family recipe. If you need any more, I suggest you speak to Hudo the grocer. He's very reliable.|La pâte est préparée selon une recette familiale secrète. Si vous en avez besoin de plus, je vous suggère de parler à Hudo, l'épicier. Il est très fiable.
Let me know how you get on.|Tenez-moi au courant.
Hi Mr Gianne.|Bonjour M. Gianne.
So how did you get on with the toad crunchies?|Alors, comment ça s'est passé avec les croustillants de crapaud ?
I think I've got one.|Je crois que j'en ai un.
That looks identical to the crunchies I cooked not five minutes ago. You'll have to prove to me that you can make one yourself if you want my recommendation.|Il est identique à ceux que j'ai préparés il y a cinq minutes. Vous devrez me prouver que vous pouvez en faire vous-même si vous voulez ma recommandation.
Erm, I've not quite finished it yet.|Euh, je ne l'ai pas encore tout à fait terminé.
Ok, let me know when you have.|D'accord, tenez-moi au courant quand ce sera fait.
I'm afraid I've lost the crunchie tray you gave to me.|J'ai bien peur d'avoir perdu le plateau à croquettes que vous m'avez donné.
Ok, I'll give you another one. Obviously I can't expect you to cook without the proper utensils.|D'accord, je vous en donnerai un autre. Je ne peux évidemment pas vous demander de cuisiner sans les ustensiles adéquats.
I've not finished yet.|Je n'ai pas encore fini.
Ok, well let me know when you're done.|D'accord, tenez-moi au courant quand vous aurez terminé.
Call me Aluft. So how did you get on with the toad crunchies?|Appelez-moi Aluft. Alors, comment ça s'est passé avec les croquettes de crapaud ?
No problem, it was easy.|Pas de problème, c'était facile.
You give Aluft the toad crunchies. He takes a bite...|Tu donnes les crunchies aux crapauds à Aluft. Il en prend une bouchée...
Not bad, not bad at all.|Pas mal, pas mal du tout.
Ok, now for something you might prefer. Try making some chocolate chip crunchies for me. They're my favourite. Here's everything you need. You can re-use the spice from the last recipe - one tin goes a long way.|Ok, maintenant, quelque chose que tu préfères peut-être. Essaie de me faire des crunchies aux pépites de chocolat. Ce sont mes préférés. Voici tout ce dont tu as besoin. Tu peux réutiliser les épices de la dernière recette, une boîte suffit pour longtemps.
Aluft gives you two bars of chocolate, some chocolate dust, and some dough.|Aluft te donne deux tablettes de chocolat, du chocolat en poudre et de la pâte.
Ok Aluft, I'll be back soon.|Ok Aluft, je reviens bientôt.
Hello Aluft.|Bonjour Aluft.
Hello there, how did you get on.|Bonjour, comment ça s'est passé ?
I haven't made it yet.|Je ne l'ai pas encore fait.
It's one trayful of chocolate chip crunchies that I need. Just follow the instructions carefully.|J'ai besoin d'un plateau entier de croquettes aux pépites de chocolat. Suis simplement les instructions à la lettre.
You give Aluft the chocolate crunchies. He takes a bite...|Tu donnes les croquettes au chocolat à Aluft. Il en prend une bouchée...
Yes, yes, yes, that's superb. I'm really impressed.|Oui, oui, oui, c'est superbe. Je suis vraiment impressionné.
Ok then, can you make me a toad batta? Here's what you need.|Ok, alors peux-tu me faire un batta de crapaud ? Voici ce dont tu as besoin.
Let me know when the batta is ready.|Préviens-moi quand le batta sera prêt.
Aluft.|Aluft.
Sorry, Aluft.|Désolé, Aluft.
So where's my toad batta?|Alors, où est mon batta de crapaud ?
That looks identical to the toad batta I cooked not five minutes ago. You'll have to prove to me that you can make one yourself if you want my recommendation.|Il est identique à celui que j'ai préparé il y a moins de cinq minutes. Tu devras me prouver que tu peux en faire un toi-même si tu veux ma recommandation.
I'm afraid I've lost the batta tin you gave to me.|J'ai bien peur d'avoir perdu le moule à batta que tu m'as donné.
Ok, be as quick as you can.|D'accord, fais aussi vite que possible.
Here you go, that was no problem.|Voilà, ça n'a posé aucun problème.
You give Aluft the toad batta. He takes a bite...|Tu donnes le batta aux crapauds à Aluft. Il prend une bouchée...
Ooh, that's some good toad. Very nice.|Ooh, c'est un bon batta aux crapauds. Très bon.
Let's see if you can make a cheese and tomato batta next.|Voyons si tu peux préparer un batta au fromage et à la tomate ensuite.
Hello again Aluft.|Bonjour à nouveau, Aluft.
Hello [player name] have you made my Cheese and tomato Batta?|Bonjour [nom du joueur], as-tu préparé mon batta au fromage et à la tomate ?
That looks identical to the cheese and tomato batta I cooked not five minutes ago. You'll have to prove to me that you can make one yourself if you want my recommendation.|Il est identique au batta au fromage et à la tomate que j'ai préparé il y a moins de cinq minutes. Tu vas devoir me prouver que tu peux en faire un toi-même si tu veux ma recommandation.
Here, see what you think.|Tiens, vois ce que tu en penses.
You give Aluft the batta. He sniffs it then takes a bite...|Tu donnes le batta à Aluft. Il le renifle puis prend une bouchée...
Hmm, that's actually really good.|Hmm, c'est vraiment très bon.
How about this? Hmmm. I think you may well be ready for real cooking. Well I'm happy to give you my recommendation to Jnr, if that's what you want.|Qu'en penses-tu ? Hmmm. Je pense que tu es prêt à cuisiner pour de vrai. Je suis heureux de te recommander à Jnr, si c'est ce que tu souhaites.
Great thanks.|Merci beaucoup.
Well your training with me is over [player name]. Are you interested in some work?|Ton apprentissage avec moi est terminé [nom du joueur]. Es-tu intéressé par un travail ?
I may be...|Peut-être...
I think you're almost ready to do some work for my son Aluft Gianne Jnr. He is in charge of our new family venture: Gnome Food Delivery. There's good tips to be made if you make and deliver gnome foods -|Je pense que tu es presque prêt à travailler pour mon fils Aluft Gianne Jnr. Il est responsable de notre nouvelle entreprise familiale : Gnome Food Delivery. Tu peux gagner de bons pourboires en préparant et en livrant des plats pour gnomes,
though you may have to travel all over Gielinor to fulfil some of the other orders...|même si tu devras peut-être parcourir tout Gielinor pour honorer certaines commandes...
However, some of the orders Aluft aloft gets are for gnome cocktails, so if you want to work for Lufty, you'll need to undergo some basic cocktail making training. Go and have a chat with him. He's not that|Cependant, certaines des commandes qu'Aluft reçoit concernent des cocktails gnomes, donc si tu veux travailler pour Lufty, tu devras suivre une formation de base en préparation de cocktails. Va lui parler. Il n'est pas si
scary...|effrayant que ça...
Thanks for your help!|Merci pour votre aide !
Oh, one last thing. My special dough, can be occasionally tricky to get hold of. I wouldn't want to stop you from cooking gnome delicacies for want of dough!|Oh, une dernière chose. Ma pâte spéciale peut parfois être difficile à trouver. Je ne voudrais pas vous empêcher de cuisiner des délices gnomes par manque de pâte !
Aluft Gianne gives you a voucher for 100 balls of Gianne Dough.|Aluft Gianne vous donne un bon pour 100 boules de pâte Gianne.
That should last you for a small while eh? That's all the free dough I'm going to give you so don't waste it!|Cela devrait vous suffire pour un petit moment, n'est-ce pas ? C'est toute la pâte gratuite que je vais vous donner, alors ne la gaspillez pas !
Blurberry tells me that you have finished training with him, so I think you're ready to do some work for my son Aluft Gianne Jnr. He is in charge of our new family venture: Gnome Food Delivery. There's good|Blurberry m'a dit que vous aviez terminé votre formation avec lui, donc je pense que vous êtes prêt à travailler pour mon fils, Aluft Gianne Jr. Il est responsable de notre nouvelle entreprise familiale : Gnome Food Delivery. Vous pouvez gagner de bons
tips to be made if you make and deliver gnome foods - though you may have to travel all over Gielinor to fulfil some of the other orders...|pourboires en préparant et en livrant des plats gnomes, mais vous devrez peut-être parcourir tout Gielinor pour honorer certaines commandes...
Sounds interesting....|Ça a l'air intéressant...
Go and have a chat with my son Lufty Jnr. and he'll fill you in with details.|Va discuter avec mon fils Lufty Jr. et il te donnera tous les détails.
[Good day, sir/Good day, madam/Good day].|[Bonjour, monsieur/Bonjour, madame/Bonjour].
What are you doing down here?|Que fais-tu ici ?
I'm waiting for my shift. I'm supposed to be digging once the others have finished.|J'attends mon tour. Je suis censé creuser une fois que les autres auront fini.
I don't like the sound of these monsters, though.|Mais je n'aime pas trop l'idée de ces monstres.
Monsters?|Des monstres ?
I heard that Donal went exploring in the caves, and saw a huge monster.|J'ai entendu dire que Donal était parti explorer les grottes et qu'il avait vu un énorme monstre.
If you want to know more about it, ask Thorodin - he's working on the excavation right now.|Si vous voulez en savoir plus, demandez à Thorodin, il travaille sur les fouilles en ce moment.
I'm waiting for my shift, of course. We can't dig all the time, you know.|J'attends mon tour, bien sûr. On ne peut pas creuser tout le temps, vous savez.
I'm also researching the links between the Fremenniks and the Dwarves.|Je fais également des recherches sur les liens entre les Fremenniks et les Nains.
I've found that we have some mythology in common.|J'ai découvert que nous avons une mythologie commune.
Hello. Welcome to the Gielinor Housing Agency! What can I do for you?|Bonjour. Bienvenue à l'agence immobilière de Gielinor ! Que puis-je faire pour vous ?
Can you move my house please?|Pouvez-vous déplacer ma maison, s'il vous plaît ?
Where would you like it moved to?|Où souhaitez-vous la déplacer ?
To Rimmington please!|À Rimmington, s'il vous plaît !
Your house is already there!|Votre maison s'y trouve déjà !
Hmph. Come back when you have 5,000 coins.|Hum. Revenez quand vous aurez 5 000 pièces.
Your house has been moved to Rimmington.|Votre maison a été déplacée à Rimmington.
To Taverley please!|À Taverley, s'il vous plaît !
I'm afraid you don't have a high enough Construction level to move there. You need to have level 10.|Je crains que votre niveau de construction ne soit pas suffisant pour vous y installer. Vous devez avoir le niveau 10.
Your house has been moved to Taverley.|Votre maison a été déplacée à Taverley.
To Pollnivneach please!|À Pollnivneach, s'il vous plaît !
I'm afraid you don't have a high enough Construction level to move there. You need to have level 20.|Je crains que votre niveau de construction ne soit pas assez élevé pour vous permettre de déménager là-bas. Vous devez avoir le niveau 20.
Hmph. Come back when you have 7,500 coins.|Hum. Revenez quand vous aurez 7 500 pièces.
Your house has been moved to Pollnivneach.|Votre maison a été déplacée à Pollnivneach.
To Hosidius please!|À Hosidius, s'il vous plaît !
If player lacks the required Construction level: I'm afraid you don't have a high enough Construction level to move there. You need to have level 25.|Si le joueur n'a pas le niveau de construction requis : Je crains que vous n'ayez pas un niveau de construction suffisant pour déménager là-bas. Vous devez avoir le niveau 25.
Hmph. Come back when you have 8,750 coins.|Hum. Revenez quand vous aurez 8 750 pièces.
Absolutely. Hand me your blueprints and I'll make it happen! I'll keep the blueprints, so you'll always be able to switch back to this style in future, for a small fee.|Absolument. Donnez-moi vos plans et je m'en occuperai ! Je conserverai les plans, vous pourrez donc toujours revenir à ce style à l'avenir, moyennant une petite somme.
Hand in your blueprints for the Hosidius theme?|Vous voulez remettre vos plans pour le thème Hosidius ?
Your house has been moved to Hosidius.|Votre maison a été déplacée à Hosidius.
To Rellekka please!|À Rellekka, s'il vous plaît !
I'm afraid you don't have a high enough Construction level to move there. You need to have level 30.|Je crains que vous n'ayez pas un niveau de construction suffisant pour vous y installer. Vous devez avoir le niveau 30.
Hmph. Come back when you have 10,000 coins.|Hum. Revenez quand vous aurez 10 000 pièces.
Your house has been moved to Rellekka.|Votre maison a été déplacée à Rellekka.
To Brimhaven please!|À Brimhaven, s'il vous plaît !
If player lacks the required Construction level: I'm afraid you don't have a high enough Construction level to move there. You need to have level 40.|Si le joueur n'a pas le niveau de construction requis : Je crains que vous n'ayez pas un niveau de construction suffisant pour déménager là-bas. Vous devez avoir le niveau 40.
Hmph. Come back when you have 15,000 coins.|Hum. Revenez quand vous aurez 15 000 pièces.
Your house has been moved to Brimhaven.|Votre maison a été déplacée à Brimhaven.
To Yanille please!|À Yanille, s'il vous plaît !
I'm afraid you don't have a high enough Construction level to move there. You need to have level 50.|Je crains que vous n'ayez pas un niveau de construction suffisant pour déménager là-bas. Vous devez avoir le niveau 50.
Hmph. Come back when you have 25,000 coins.|Hum. Revenez quand vous aurez 25 000 pièces.
Your house has been moved to Yanille.|Votre maison a été déplacée à Yanille.
To Prifddinas please!|À Prifddinas, s'il vous plaît !
Where? Never heard of it.|Où ça ? Je n'en ai jamais entendu parler.
I'm afraid you don't have a high enough Construction level to move there. You need to have level 70.|Je crains que vous n'ayez pas un niveau de construction suffisant pour vous y installer. Vous devez avoir le niveau 70.
Hmph. Come back when you have 50,000 coins.|Hum. Revenez quand vous aurez 50 000 pièces.
Your house has been moved to Prifddinas.|Votre maison a été déplacée à Prifddinas.
Can you redecorate my house please?|Pouvez-vous redécorer ma maison, s'il vous plaît ?
Certainly. My magic can rebuild the house in a completely new style! What style would you like?|Certainement. Ma magie peut reconstruire la maison dans un style complètement nouveau ! Quel style souhaitez-vous ?
Basic wood|Bois basique
If player's house is already decorated in that style: Your house is already in that style!|Si la maison du joueur est déjà décorée dans ce style : Votre maison est déjà dans ce style !
Your house is already in that style!|Votre maison est déjà dans ce style !
If player doesn't have enough gold: Hmph. Come back when you have 5,000 coins.|Si le joueur n'a pas assez d'or : Hum. Revenez quand vous aurez 5 000 pièces.
Your house has been redecorated.|Votre maison a été redécorée.
If player doesn't have enough gold: Hmph. Come back when you have 7,500 coins.|Si le joueur n'a pas assez d'or : Hum. Revenez quand vous aurez 7 500 pièces.
If player doesn't have enough gold: Hmph. Come back when you have 10,000 coins.|Si le joueur n'a pas assez d'or : Hum. Revenez quand vous aurez 10 000 pièces.
If player doesn't have enough gold: Hmph. Come back when you have 15,000 coins.|Si le joueur n'a pas assez d'or : Hum. Revenez quand vous aurez 15 000 pièces.
If player doesn't have enough gold: Hmph. Come back when you have 25,000 coins.|Si le joueur n'a pas assez d'or : Hum. Revenez quand vous aurez 25 000 pièces.
I'm afraid you haven't unlocked that style.|Je crains que vous n'ayez pas débloqué ce style.
If player doesn't have enough gold: Hmph. Come back when you have 35,000 coins.|Si le joueur n'a pas assez d'or : Hum. Revenez quand vous aurez 35 000 pièces.
Hmph. Come back when you have 35,000 coins.|Hum. Revenez quand vous aurez 35 000 pièces.
If player doesn't have the Twisted blueprints in their inventory: I'm afraid I'd need some blueprints for that.|Si le joueur n'a pas les plans Twisted dans son inventaire : J'ai bien peur d'avoir besoin de plans pour cela.
I'm afraid I'd need some blueprints for that.|J'ai bien peur d'avoir besoin de plans pour cela.
If player hasn't given Hosidius blueprints to Alwyn: I'm afraid I'd need some blueprints for that. Maybe you can buy some by working for the contractors.|Si le joueur n'a pas donné les plans Hosidius à Alwyn : J'ai bien peur d'avoir besoin de plans pour cela. Vous pouvez peut-être en acheter en travaillant pour les entrepreneurs.
Could I have a Construction guide book?|Pourrais-je avoir un guide de construction ?
You've already got one!|Vous en avez déjà un !
Not until you free up some inventory space.|Pas avant d'avoir libéré de l'espace dans votre inventaire.
Certainly.|Certainement.
Tell me about houses!|Parlez-moi des maisons !
It all came out of the wizards' experiments. They found a way to fold space, so that they could pack many acres of land into an area only a foot across.|Tout cela est le fruit des expériences des sorciers. Ils ont trouvé un moyen de plier l'espace, afin de pouvoir concentrer plusieurs hectares de terrain dans une zone d'à peine 30 cm de large.
They created several folded-space regions across Gielinor. Each one contains hundreds of small plots where people can build houses.|Ils ont créé plusieurs régions à espace plié à travers Gielinor. Chacune contient des centaines de petites parcelles où les gens peuvent construire des maisons.
Ah, so that's how everyone can have a house without them cluttering up the world!|Ah, c'est donc ainsi que tout le monde peut avoir une maison sans encombrer le monde !
Quite. The wizards didn't want to get bogged down in the business side of things so they hired me to sell the houses.|Tout à fait. Les sorciers ne voulaient pas s'embarrasser de l'aspect commercial, alors ils m'ont engagé pour vendre les maisons.
There are various other people across Gielinor who can help you furnish your house.|Il y a plein d'autres personnes à travers Gielinor qui peuvent t'aider à meubler ta maison.
You should start by buying planks from a sawmill operator. Sawmills are located in north-east Varrock, the Woodcutting Guild located in south-west Hosidius and north-east Prifddinas.|Tu devrais commencer par acheter des planches à un exploitant de scierie. Les scieries se trouvent au nord-est de Varrock, la guilde des bûcherons au sud-ouest de Hosidius et au nord-est de Prifddinas.
Tell me about that skillcape you're wearing.|Parlez-moi de cette cape de compétence que vous portez.
As you may know, skillcapes are only available to masters in a skill. I have spent my entire life building houses and now I spend my time selling them! As a sign of my abilities I wear this Skillcape of Construction.|Comme vous le savez peut-être, les capes de compétence ne sont accessibles qu'aux maîtres dans un domaine particulier. J'ai passé toute ma vie à construire des maisons et maintenant je passe mon temps à les vendre ! En signe de mes compétences, je porte cette cape de compétence de construction.
If you ever have enough skill to build a demonic throne, come and talk to me and I'll sell you a skillcape like mine.|Si jamais vous avez suffisamment de compétences pour construire un trône démoniaque, venez me parler et je vous vendrai une cape de compétence comme la mienne.
The Cape of Construction also provides you with as many teleports as you like to any of the house portals or even directly inside!|La cape de construction vous permet également de vous téléporter autant de fois que vous le souhaitez vers n'importe quel portail de maison, voire directement à l'intérieur !
Can you sell me a Skillcape of Construction?|Pouvez-vous me vendre une cape de construction ?
Alright, that'll be 99000 coins, please. A small price to pay for such an illustrious cape that can teleport you to any of the house portals or even directly inside your house!|Très bien, cela vous fera 99 000 pièces, s'il vous plaît. C'est un petit prix à payer pour une cape aussi prestigieuse qui vous permet de vous téléporter vers n'importe quel portail de maison, voire directement à l'intérieur de votre maison !
I'm not paying that!|Je ne paierai pas ça !
Suit yourself. There are many other heroes who would love the opportunity to purchase one. You can find me here if you change your mind.|Comme vous voulez. Il y a beaucoup d'autres héros qui seraient ravis d'en acheter une. Vous me trouverez ici si vous changez d'avis.
Well, come back and see me when you do.|Eh bien, revenez me voir quand ce sera le cas.
Hello, if you've something important to tell me, be out with it! I'm a busy woman.|Bonjour, si vous avez quelque chose d'important à me dire, allez-y ! Je suis une femme très occupée.
Just making small talk.|Je fais juste la conversation.
How very nice of you. However, I'm sure there are less busy people who'd love to chat.|C'est très gentil de votre part. Cependant, je suis sûre qu'il y a des gens moins occupés qui seraient ravis de discuter.
Oh, okay.|Oh, d'accord.
Chin up love and go adventure, that's what you lot do right?|Courage, mon cher, partez à l'aventure, c'est ce que vous faites tous, n'est-ce pas ?
I suppose we do, bye!|Je suppose que oui, au revoir !
I'm Alyssa the housekeeper and this castle needs constant attention! I've enough trouble with the guards messing up my carpets without you adding to the problem.|Je suis Alyssa, la gouvernante, et ce château nécessite une attention constante ! J'ai déjà assez de mal avec les gardes qui abîment mes tapis, pas besoin que vous veniez ajouter à mes problèmes.
Hmm, yeah sorry about that. Speaking of carpets, ever thought how strange that there are carpets beneath the stairs?|Hmm, oui, désolé pour ça. En parlant de tapis, vous n'avez jamais trouvé étrange qu'il y en ait sous les escaliers ?
It's cut to fit! If I had a gold piece for everytime I was asked that question!|Ils sont coupés sur mesure ! Si j'avais une pièce d'or à chaque fois qu'on me pose cette question !
Sure... Cut to fit... Not an oversight at all.|Bien sûr... Coupés sur mesure... Ce n'est pas du tout un oubli.
Alright, believe what you like. I've a castle to clean.|Très bien, croyez ce que vous voulez. J'ai un château à nettoyer.
Bye.|Au revoir.
Are you the Alyssa this entry mentions?|Êtes-vous l'Alyssa mentionnée dans cette entrée ?
You show her 'A Dark Disposition'.|Montrez-lui « Une sombre disposition ».
Ah, I suppose I am.|Ah, je suppose que oui.
Got anything to say about it?|Vous avez quelque chose à dire à ce sujet ?
Why should I tell you anything? There are private matters of a late royal family! It wouldn't be proper to divulge such information to an adventurer like you.|Pourquoi devrais-je vous dire quoi que ce soit ? Il s'agit d'affaires privées d'une ancienne famille royale ! Il ne serait pas convenable de divulguer de telles informations à un aventurier comme vous....
...Most people don't know when to stop sharing. I guess you have a point though.|La plupart des gens ne savent pas quand s'arrêter de partager. Je suppose que vous avez raison.
Yes, I do indeed. Off with you, I've had my fair share of nosy adventurers for one day.|Oui, en effet. Allez-vous-en, j'ai eu ma dose d'aventuriers indiscrets pour aujourd'hui.
Alright, sorry for disturbing you. Bye.|D'accord, désolé de vous avoir dérangé. Au revoir....
...Most people don't know when to stop sharing. It's probably worth mentioning that I've found all entries of this memoir.|La plupart des gens ne savent pas quand s'arrêter de partager. Il vaut probablement la peine de mentionner que j'ai trouvé toutes les entrées de ce journal intime.
Yes, how did you come across this? I'm fairly certain it was destroyed... At least, I recall seeing a man removing the pages...|Oui, comment l'avez-vous trouvé ? Je suis presque sûr qu'il a été détruit... Du moins, je me souviens avoir vu un homme enlever les pages...
Honestly, I've never really questioned it. I do things for people and they give me things.|Honnêtement, je ne me suis jamais vraiment posé la question. Je fais des choses pour les gens et ils me donnent des choses en échange.
Well, I suppose if you've already nosily rifled through the princesses personal memoirs, I can tell you a little more.|Eh bien, je suppose que si vous avez déjà fouillé dans les mémoires personnelles de la princesse, je peux vous en dire un peu plus.
Fantastic! I've got to say, there's some great little gems in this old book. I think I'm unravelling a great mystery!|Fantastique ! Je dois dire qu'il y a de petites perles dans ce vieux livre. Je pense que je suis en train de percer un grand mystère !
Well, if I were you I'd keep shush on the whole matter.|Eh bien, si j'étais vous, je garderais le silence sur toute cette affaire.
How come?|Pourquoi donc ?
You must be new here. When the king died, everyone assumed the princess would take the throne when she came of age.|Vous devez être nouveau ici. Lorsque le roi est mort, tout le monde pensait que la princesse monterait sur le trône à sa majorité.
But the council kept control...|Mais le conseil a conservé le pouvoir...
Indeed, and poor young Rose was shipped off and labelled as crazy.|En effet, et la pauvre jeune Rose a été envoyée loin d'ici et déclarée folle.
I do very much miss her, but one can't change the past.|Elle me manque beaucoup, mais on ne peut pas changer le passé.
What if I were to say she's still out there! Read this entry that I found hidden within a secret part of the memoir.|Et si je vous disais qu'elle est toujours en vie ? Lisez cette note que j'ai trouvée cachée dans une partie secrète des mémoires.
I'm sorry adventurer, but what does this prove exactly? For all you know someone else wrote this to mislead you.|Je suis désolé, aventurier, mais qu'est-ce que cela prouve exactement ? Pour autant que vous le sachiez, quelqu'un d'autre a pu écrire cela pour vous induire en erreur.
Ah, you do make a good point...|Ah, vous soulevez un bon point...
If she did write this I'm afraid to say she must be mad after all.|Si c'est elle qui a écrit cela, j'ai bien peur qu'elle soit folle après tout.
What makes you say that?|Qu'est-ce qui vous fait dire ça ?
Are all adventurers as dense as you? If you were in danger, do you really think leaving a hidden message in an old lost book for any stranger to pick up is the best way to get help?|Tous les aventuriers sont-ils aussi bêtes que vous ? Si vous étiez en danger, pensez-vous vraiment que laisser un message caché dans un vieux livre perdu à la disposition de n'importe quel inconnu soit le meilleur moyen d'obtenir de l'aide ?
It's certainly peculiar, but it should be investigated regardless. Y'know, just in case...|C'est certes étrange, mais cela mérite d'être vérifié. Vous savez, au cas où...
Alright, spring the trap! Don't come crying to me when it all turns sour.|D'accord, lancez le piège ! Ne venez pas vous plaindre si ça tourne mal.
Don't you worry! I'm a brave adventurer with a damsel in distress to rescue! This is my bread and butter.|Ne t'inquiète pas ! Je suis un aventurier courageux qui doit sauver une demoiselle en détresse ! C'est mon gagne-pain.
Yes, yes, of course. Well, I'd be glad to hear of her being safe but perhaps you should heed the warning.|Oui, oui, bien sûr. Eh bien, je serais ravi d'apprendre qu'elle est en sécurité, mais tu devrais peut-être tenir compte de l'avertissement.
Which warning?|Quel avertissement ?
Tread carefully.|Sois prudent.
Oh, of course! Thanks for chatting with me Alyssa, I'll see you around.|Oh, bien sûr ! Merci de m'avoir parlé, Alyssa, à bientôt.
Farewell.|Au revoir.
I'm sorry, but I'm not paid to serve every lazy adventurer who walks their dirty feet through my halls!|Je suis désolée, mais je ne suis pas payée pour servir tous les aventuriers paresseux qui traînent leurs pieds sales dans mes couloirs !
Sorry, I'll be going.|Désolé, je m'en vais.
Hi there!|Bonjour !
Why, helloooo!|Mais bonjour !
A camel?|Un chameau ?
Well this is grand darling. How nice it is to make your acquaintance!|Eh bien, c'est formidable, ma chère. Quel plaisir de faire votre connaissance !
Thank you. Nice to meet you too.|Merci. Enchantée également.
Wait a minute. How am I talking to you without a Camulet?|Attendez une minute. Comment puis-je vous parler sans Camulet ?
My dear, I'm a camel, how should I know?|Ma chère, je suis un chameau, comment le saurais-je ?
Hmmm. I suppose this spell must tap directly into your mind. So, there's no need for language to get in the way.|Hum. Je suppose que ce sort doit agir directement sur votre esprit. Il n'y a donc pas besoin de passer par le langage.
I think I am somewhat confused.|Je suis un peu perplexe.
May one ask how you contacted me?|Puis-je vous demander comment vous m'avez contactée ?
I'm just using one of the Lunar spells.|J'utilise simplement l'un des sorts lunaires.
Oh my, oh my. These youngsters today and their new-fangled gadgets!|Oh là là, ces jeunes d'aujourd'hui et leurs gadgets dernier cri !
Hello Effendi!|Bonjour Effendi !
I am Al Shabim, greetings on behalf of the Bedabin nomads.|Je suis Al Shabim, je vous salue au nom des nomades Bedabin.
I am Al Shabim Effendi! I am the leader of the Bedabin peoples!|Je suis Al Shabim Effendi ! Je suis le chef du peuple Bedabin !
Okay Thanks!|D'accord, merci !
Good day Effendi!|Bonne journée, Effendi !
What is there to do around here?|Qu'y a-t-il à faire par ici ?
Well, we are all very busy most of the time, tending to the pineapples. They are grown in a secret location, to stop thieves from raiding our most precious prize.|Eh bien, nous sommes tous très occupés la plupart du temps, à nous occuper des ananas. Ils sont cultivés dans un endroit secret, pour empêcher les voleurs de s'emparer de notre trésor le plus précieux.
This is the home of the Bedabin. We're a peaceful tribe of desert dwellers. Some idiots call us 'Tenti's', a childish name borne of ignorance.|C'est la maison des Bedabin. Nous sommes une tribu pacifique qui vit dans le désert. Certains idiots nous appellent « Tenti », un nom enfantin né de l'ignorance.
